"Attempt_ID","Pgl_Bez","N_Fertilization_kg_ha","Ert_dt_ha","RP_Go","N_Efficiency","CropType_Long","pH","K","P","Mg","Corg","NH4_N","NO3_N","Nges","Smin","B","Mn","Cu","Zn","Mo","KAK_eff","Ca_eff","Mg_eff","K_eff","Na_eff","BS","Soiltype","Soiltype_Short","Sand","Silt","Clay"
"RO-N004-21-C_08","AnN_Pp_ 80_20_T1_T3",160,100.41,9.2,42.2,"Winter Rye",6.5,10.1,5.3,14.6,0.92,0.09,1.28,0.07,0.38,0.35,109.1,1.53,4.04,0.032,5.6,5.75,1.31,0.42,0.1,133.6,"sandy loamier Silt","Uls",37.4,51.2,11.4
"RO-N004-21-C_02","Pi46_50_50_T2_T3",160,96.26,9.3,40,"Winter Rye",6.5,10.1,5.3,14.6,0.92,0.09,1.28,0.07,0.38,0.35,109.1,1.53,4.04,0.032,5.6,5.75,1.31,0.42,0.1,133.6,"sandy loamier Silt","Uls",37.4,51.2,11.4
"RO-N004-21-C_07","AnN_Pp_ 70_30_T1_T3",160,100.2,9.3,43.3,"Winter Rye",6.5,10.1,5.3,14.6,0.92,0.09,1.28,0.07,0.38,0.35,109.1,1.53,4.04,0.032,5.6,5.75,1.31,0.42,0.1,133.6,"sandy loamier Silt","Uls",37.4,51.2,11.4
"RO-N004-21-C_01","ohne N",0,52.84,8.2,NA,"Winter Rye",6.5,10.1,5.3,14.6,0.92,0.09,1.28,0.07,0.38,0.35,109.1,1.53,4.04,0.032,5.6,5.75,1.31,0.42,0.1,133.6,"sandy loamier Silt","Uls",37.4,51.2,11.4
"RO-N004-21-C_03","Pp_50_50_T2_T3",160,99.42,9.4,42.9,"Winter Rye",6.5,10.1,5.3,14.6,0.92,0.09,1.28,0.07,0.38,0.35,109.1,1.53,4.04,0.032,5.6,5.75,1.31,0.42,0.1,133.6,"sandy loamier Silt","Uls",37.4,51.2,11.4
"RO-N004-21-C_04","AnN_100_T2",160,98.41,8.7,36.8,"Winter Rye",6.5,10.1,5.3,14.6,0.92,0.09,1.28,0.07,0.38,0.35,109.1,1.53,4.04,0.032,5.6,5.75,1.31,0.42,0.1,133.6,"sandy loamier Silt","Uls",37.4,51.2,11.4
"RO-N004-21-C_05","AnN_100_T1",160,100.88,8.6,37.6,"Winter Rye",6.5,10.1,5.3,14.6,0.92,0.09,1.28,0.07,0.38,0.35,109.1,1.53,4.04,0.032,5.6,5.75,1.31,0.42,0.1,133.6,"sandy loamier Silt","Uls",37.4,51.2,11.4
"RO-N004-21-C_10","KAS_50_50_T2_T3",160,100.1,9.7,46.5,"Winter Rye",6.5,10.1,5.3,14.6,0.92,0.09,1.28,0.07,0.38,0.35,109.1,1.53,4.04,0.032,5.6,5.75,1.31,0.42,0.1,133.6,"sandy loamier Silt","Uls",37.4,51.2,11.4
"RO-N004-21-C_09","Pp_AnN_30_70_T1_T2",160,98.4,8.6,35.7,"Winter Rye",6.5,10.1,5.3,14.6,0.92,0.09,1.28,0.07,0.38,0.35,109.1,1.53,4.04,0.032,5.6,5.75,1.31,0.42,0.1,133.6,"sandy loamier Silt","Uls",37.4,51.2,11.4
"RO-N004-21-C_06","AnN_Pp_ 50_50_T1_T3",160,99.73,9.4,43.8,"Winter Rye",6.5,10.1,5.3,14.6,0.92,0.09,1.28,0.07,0.38,0.35,109.1,1.53,4.04,0.032,5.6,5.75,1.31,0.42,0.1,133.6,"sandy loamier Silt","Uls",37.4,51.2,11.4
